"fid.see.mrktc.generalinfo.","unique.row.id.see.mrktc.generalinfo.","unique.row.id","1.what.are.the.activities.that.you.are.doing.in.this.market.today.","if.other.specify.5","type.of.place.see.mrktc.lkpsell.placetype.","if.other.specify","name.of.place.8","ward.9","district.10","3.what.is.your.main.reason.for.selling.these.sheep.and.or.goats.","if.other.specify.12","4.how.were.sheep.goats.transported.to.the.market.see.mrktc.lkpsell.trans.","if.other.specify.14","5.do.you.also.sell.other.animal.species.apart.from.sheep.and.goats.","if.yes.out.of.all.the.species.that.you.sell.which.species.do.you.sell.the.most.","if.other.specify.17","will.you.transport.the.sheep.goats.you.are.buying.today.","type.of.place.see.mrktc.lkpplacetype.","if.other.specify.20","name.of.place.21","ward.22","district.23","7.what.is.your.main.reason.for.buying.these.small.ruminants.","if.other.specify.25","8.how.will.you.transport.these.small.ruminants.that.you.are.buying.see.mrktc.lkpsell.trans.","if.other.specify.27","9.what.criteria.do.you.use.to.decide.which.small.ruminants.to.buy.","if.other.specify.29","10.what.other.species.of.animals.do.you.buy.apart.from.sheep.and.goats.","if.other.specify.31","11.if.the.prices.of.sheep.and.goats.increase.for.some.reason.e.g.a.shortage.of.animals.due.to.disease.will.you.still.buy.them.","if.no.which.other.species.will.you.consider.instead.","if.other.specify.34","if.yes.how.much.of.an.increase.in.the.current.price.of.sheep.and.goat.unit.price.of.live.animal.will.cause.you.to.change.your.purchasing.behaviour.to.another.animal.species","12.how.many.times.in.a.month.do.you.buy.or.sell.sheep.and.or.goats.in.this.market.","unique.row.identifier.uuid."
1157632,1,1,"1",NA,1,NA,"Mkole","Namanyere","Nkasi","1 2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34a613be-e380-11ec-9416-9440c9ab47f0"
1157671,1,1,"1",NA,1,NA,"Uhelela","Bahi","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"535b9546-e380-11ec-9416-9440c9ab47f0"
1157672,1,1,"1",NA,1,NA,"Makanda","Makanda","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3da6909d-e380-11ec-9416-9440c9ab47f0"
1157673,1,1,"1",NA,1,NA,"Ibihwa","Ibihwa","Bahi","3",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d5b6aec-e380-11ec-9416-9440c9ab47f0"
1157674,1,1,"2",NA,3,NA,"Makanda","Makanda","Bahi","1",NA,1,NA,1,"1",NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Kama watauzika hapa  basi wasipouzika hapa nawasafirisha kwa bodaboda kwajili ya kupeleka mnada mwingine","-66","Ukubwa wa mbuzi na uzito","1",NA,1,NA,NA,150000,2,"57014845-e380-11ec-9416-9440c9ab47f0"
1157675,1,1,"1",NA,1,NA,"Mkakatika","Mpamantwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55779f95-e380-11ec-9416-9440c9ab47f0"
1157676,1,1,"2",NA,1,NA,"Nagulo bahi","Bahi","Bahi","2",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Nawauza hapahapa mnadani na wasipouzika nawasafirisha kwa njia ya miguu","-66","Uzito na ukubwa",NA,NA,1,NA,NA,2e+05,2,"585706c9-e380-11ec-9416-9440c9ab47f0"
1157677,1,1,"1",NA,1,NA,"Mnkola","Ibihwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d82eab7-e380-11ec-9416-9440c9ab47f0"
1157678,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Makanda","Makanda","Bahi","2",NA,1,NA,"5 -66","Ukubwa",NA,NA,0,NA,NA,NA,2,"3dfa949f-e380-11ec-9416-9440c9ab47f0"
1157679,1,1,"1",NA,1,NA,"Nagulo Bahi","Bahi","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42a82385-e380-11ec-9416-9440c9ab47f0"
1157680,1,1,"1",NA,1,NA,"Nagulo  bahi","Bahi","Bahi","6",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4e642dc6-e380-11ec-9416-9440c9ab47f0"
1157681,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,"Msalato","Msalato","Bahi","6 1",NA,2,NA,"-66","Uzito  na ukubwa",NA,NA,1,NA,NA,3e+05,2,"3688c4b0-e380-11ec-9416-9440c9ab47f0"
1157682,1,1,"2",NA,1,NA,"Mkakatika","Mpamantwa","Bahi","1",NA,-66,"Bodaboda",0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Kwa bodaboda","-66","Ukubwa wa mbuzi",NA,NA,1,NA,NA,NA,NA,"51f7da46-e380-11ec-9416-9440c9ab47f0"
1157683,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Mkakatika","Mpamantwa","Bahi","2",NA,1,NA,"5 -66","Ukubwa military nikaizalishe",NA,NA,1,NA,NA,2e+05,2,"4f26d61c-e380-11ec-9416-9440c9ab47f0"
1157684,1,1,"2",NA,1,NA,"Bahi sokoni","Bahi","Bahi","1",NA,1,NA,0,NA,NA,1,3,NA,"Kigwe","Kigwe","Bahi","1",NA,1,NA,"-66","Ukubwa",NA,NA,1,NA,NA,150000,2,"4093760b-e380-11ec-9416-9440c9ab47f0"
1157685,1,1,"1",NA,1,NA,"Ibihwa","Ibihwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403ef7b1-e380-11ec-9416-9440c9ab47f0"
1157689,1,1,"1",NA,1,NA,"Bahi sokoni","Bahi","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44cc3e3b-e380-11ec-9416-9440c9ab47f0"
1157690,1,1,"1",NA,1,NA,"Mkakatika","Mpamantwa","Bahi","2 5",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3936b269-e380-11ec-9416-9440c9ab47f0"
1157691,1,1,"1 3",NA,1,NA,"Mkakatika","Mpamantwa","Bahi","1 2 5",NA,1,NA,1,"1",NA,0,NA,NA,NA,NA,NA,"1",NA,1,NA,"1 3 2 4",NA,"1",NA,0,"1",NA,NA,3,"49b0f165-e380-11ec-9416-9440c9ab47f0"
1157692,1,1,"1",NA,1,NA,"Mkakatika","Mpamantwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40ca3285-e380-11ec-9416-9440c9ab47f0"
1157693,1,1,"1 4",NA,1,NA,"Mpamantwa","Mpamantwa","Bahi","2 5",NA,1,NA,0,NA,NA,1,1,NA,"Mpamantwa","Mpamantwa","Bahi","2",NA,1,NA,"1 3 2",NA,"1",NA,0,"1",NA,NA,1,"40199f52-e380-11ec-9416-9440c9ab47f0"
1157694,1,1,"1 4",NA,1,NA,"Ligulwa","Bahi","Bahi","6",NA,1,NA,0,NA,NA,1,1,NA,"Ligulwa","Bahi","Bahi","2",NA,1,NA,"1 2 3 5",NA,NA,NA,0,NA,NA,NA,1,"511e4e67-e380-11ec-9416-9440c9ab47f0"
1157695,1,1,"1 2",NA,1,NA,"Mnkola","Ibihwa","Bahi","1 2 5",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,1,NA,"1 3 2",NA,NA,NA,NA,NA,NA,NA,2,"579187e9-e380-11ec-9416-9440c9ab47f0"
1157696,1,1,"1",NA,1,NA,"Mnkola","Ibihwa","Bahi","2 5 4",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4ea5be28-e380-11ec-9416-9440c9ab47f0"
1157697,1,1,"1",NA,1,NA,"Mkakatika","Mpamantwa","Bahi","2 5",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49e25e3a-e380-11ec-9416-9440c9ab47f0"
1157698,1,1,"1",NA,1,NA,"Mpamantwa","Mpamantwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3c0ab656-e380-11ec-9416-9440c9ab47f0"
1157699,1,1,"1",NA,1,NA,"Mpamantwa","Mpamantwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38e4a3ab-e380-11ec-9416-9440c9ab47f0"
1157700,1,1,"1",NA,1,NA,"Bahi sokoni","Bahi","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47c7a522-e380-11ec-9416-9440c9ab47f0"
1157701,1,1,"1",NA,1,NA,"Mnkola","Ibihwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5231d389-e380-11ec-9416-9440c9ab47f0"
1157702,1,1,"1 2",NA,NA,NA,"Mnkola","Ibihwa","Bahi","2",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1 3 2 4",NA,NA,NA,NA,NA,NA,NA,NA,"39a27d00-e380-11ec-9416-9440c9ab47f0"
1157703,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Mkole","Mkole","Nkasi","2",NA,1,NA,"1 2 4 5",NA,"4 3",NA,0,"4 3",NA,NA,NA,"3ab23536-e380-11ec-9416-9440c9ab47f0"
1157704,1,1,"1",NA,1,NA,"Nkomolo","Nkomolo","Nkasi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3f57d1f2-e380-11ec-9416-9440c9ab47f0"
1157705,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Ikizi","Ikizi","Nkasi","2",NA,1,NA,"1 2 4",NA,"4",NA,0,"4",NA,NA,NA,"597b51dd-e380-11ec-9416-9440c9ab47f0"
1157706,1,1,"2",NA,1,NA,"Nkomolo","Nkomolo","Nkasi","1",NA,-77,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,-77,NA,"1 2",NA,"3",NA,0,"4 3",NA,NA,2,"49a6da32-e380-11ec-9416-9440c9ab47f0"
1157707,1,1,"1",NA,1,NA,"Isale","Isale","Nkasi","1",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4fdb71b7-e380-11ec-9416-9440c9ab47f0"
1157711,1,1,"3",NA,1,NA,"Chilimba,Mitonji,Lupaso","Chiungutwa,Mbuyuni,Lupaso.","Masasi","1",NA,-66,"Pikipiki",1,"1",NA,1,2,NA,"Napupa","Napupa","Masasi","1",NA,NA,NA,"1 3 2",NA,"1",NA,1,NA,NA,20000,3,"55c3e403-e380-11ec-9416-9440c9ab47f0"
1157712,1,1,"3",NA,1,NA,"Chiungutwa","Chiungutwa","Masasi","1",NA,2,NA,0,NA,NA,1,1,NA,"Mbuyuni","Mbuyuni","Masasi","1",NA,2,NA,"1",NA,"-66","Hakuna",0,"-66","Nitasubiri bei ishuke",NA,2,"45abec06-e380-11ec-9416-9440c9ab47f0"
1157713,1,1,"1",NA,1,NA,"Kalipinde","Chiungutwa","Masasi","1",NA,-66,"Pikipiki ya miguu mitatu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3ff818f5-e380-11ec-9416-9440c9ab47f0"
1157714,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Marika","Marika","Masasi","3",NA,-66,"Kuwatia kwenye tenga na kupakia kwenye pikipiki.","1",NA,"-66","Hanunui wengine",1,NA,NA,30000,1,"387730d0-e380-11ec-9416-9440c9ab47f0"
1157715,1,1,"1",NA,1,NA,"Chilimba","Chiungutwa","Masasi","4",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38a33a02-e380-11ec-9416-9440c9ab47f0"
1157716,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,"Jida","Jida",NA,"6 8",NA,2,NA,"1",NA,"-66","Hapana.Hanunui mifugo tofauti na mbuzi.",1,NA,NA,15000,4,"59e86e8f-e380-11ec-9416-9440c9ab47f0"
1157718,1,1,"1",NA,1,NA,"Mbuyuni","Mbuyuni","Masasi","1",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46469353-e380-11ec-9416-9440c9ab47f0"
1157719,1,1,"1",NA,1,NA,"Nakarara","Makong`onda","Masasi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a1f6ed3-e380-11ec-9416-9440c9ab47f0"
1157720,1,1,"1",NA,1,NA,"Mitonji","Mbuyuni","Masasi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"498c53d7-e380-11ec-9416-9440c9ab47f0"
1157721,1,1,"3",NA,1,NA,"Mbuyuni","Mbuyuni","Masasi","1",NA,NA,NA,NA,NA,NA,1,2,NA,"Mtandi","Mtandi","Masasi","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4961e34f-e380-11ec-9416-9440c9ab47f0"
1157722,1,1,"1",NA,1,NA,"Mbuyuni","Mbuyuni","Masasi","6",NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3c06d1a2-e380-11ec-9416-9440c9ab47f0"
1157726,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"5",NA,1,NA,"3 2",NA,"-66","Hapana",0,"-66","Hapana",NA,NA,"46d7d6df-e380-11ec-9416-9440c9ab47f0"
1157727,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Uhelela","Bahi","Bahi","5",NA,-66,"Pikipiki","2 3",NA,"1",NA,0,"4",NA,NA,NA,"463b0bef-e380-11ec-9416-9440c9ab47f0"
1157728,1,1,"1",NA,1,NA,"Mkakatika","Mpamatwa","Bahi","2",NA,1,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4ebdabcc-e380-11ec-9416-9440c9ab47f0"
1157729,1,1,"1",NA,1,NA,"Mnkola","Mnkola","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3b13f895-e380-11ec-9416-9440c9ab47f0"
1157730,1,1,"2",NA,1,NA,"Bahi sokoni","Bahi","Bahi","1",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Inategemea na soko  nikishindwa kuuza nawapeleka nyumbni  kwa miguu","1 3 2",NA,"-66","Hapana",1,NA,NA,NA,1,"5301db3f-e380-11ec-9416-9440c9ab47f0"
1157731,1,1,"3",NA,1,NA,"Bahi","Bahi","Bahi","1",NA,1,NA,1,"1 3 4",NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Inategemea  nikishindwa kuuza  nawarudisha tu nyumbani","1 3 2",NA,"1 3 4",NA,0,"3 4",NA,NA,2,"58c3a48c-e380-11ec-9416-9440c9ab47f0"
1157732,1,1,"1",NA,1,NA,"Mkakatika","Mpamatwa","Bahi","2 3",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54cedb03-e380-11ec-9416-9440c9ab47f0"
1157733,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Bahi","Bahi","Bahi","-66","Sherehe",1,NA,"2 3",NA,"-66","Hapana",0,"-66","Hapana",NA,NA,"5335f72e-e380-11ec-9416-9440c9ab47f0"
1157734,1,1,"3",NA,2,NA,"Dodoma",NA,"Dodoma mjini","1",NA,2,NA,0,NA,NA,1,2,NA,"Dodoma","Kizota","Dodoma mjini","1",NA,2,NA,"2 3 1 4",NA,"-66","Hapana",1,NA,NA,5e+05,2,"3cb53377-e380-11ec-9416-9440c9ab47f0"
1157735,1,1,"1",NA,1,NA,"Ibihwa","Ibihwa","Bahi","2 3",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3d298fdd-e380-11ec-9416-9440c9ab47f0"
1157736,1,1,"-66","Nanunua na kuchinja  nauza nyama mnadani",-66,"Nawakuta mnadani",NA,NA,NA,"-66","Kuchinja  na kuuza nyama",-66,"Nawakuta mnadani",0,NA,NA,0,NA,NA,NA,NA,NA,"6",NA,-66,"Sisafirishi  me nanunua  na kuchinja mnadani","2 3",NA,"-66","Hapana",0,"4",NA,NA,2,"3ea3cdc7-e380-11ec-9416-9440c9ab47f0"
1157737,1,1,"1",NA,1,NA,"Mkakatika","Mpamatwa","Bahi","2 3",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37d489c4-e380-11ec-9416-9440c9ab47f0"
1157738,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Mpamatwa","Mpamatwa","Bahi","5",NA,1,NA,"3 4 2",NA,"-66","Hapana",0,"-66","Sitanunua",NA,2,"4accaffd-e380-11ec-9416-9440c9ab47f0"
1157739,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Nagulo-Bahi","Bahi","Bahi","5",NA,1,NA,"3 2 1",NA,"1",NA,0,"1",NA,NA,NA,"405432ae-e380-11ec-9416-9440c9ab47f0"
1157740,1,1,"3",NA,1,NA,"Mkakatika","Mpamatwa","Bahi","1",NA,1,NA,0,NA,NA,1,1,NA,"Mkakatika","Mpamatwa","Bahi","5 6 1",NA,1,NA,"2 3",NA,"-66","Hakuna",1,NA,NA,NA,2,"4532f59e-e380-11ec-9416-9440c9ab47f0"
1157781,1,1,"1 4",NA,1,NA,"Mbuyu kwa mbuyu","Mbuyu kwa mbuyu","Nanyumbu","5 3 6",NA,2,NA,0,NA,NA,1,1,NA,"Milunda","Milunda","Masasi","2 3 4 5 6",NA,3,NA,"2 1 3",NA,"-66","Hanunui wanyama wengine",1,NA,NA,25000,1,"52cb6ea8-e380-11ec-9416-9440c9ab47f0"
1157782,1,1,"1",NA,1,NA,"Maparawe","Mchauru","Masasi","2 3 4 5",NA,2,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48ff3ef6-e380-11ec-9416-9440c9ab47f0"
1157783,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Nairombo","Nanjota","Masasi","2 4 6 5",NA,2,NA,"2 1 4 3",NA,"4",NA,1,NA,NA,20000,1,"47115615-e380-11ec-9416-9440c9ab47f0"
1157784,1,1,"1",NA,2,NA,"Chanikanguo","Chanikanguo","Masasi","2 3 4",NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46379b51-e380-11ec-9416-9440c9ab47f0"
1157785,1,1,"1",NA,1,NA,"Lusonje","Mkururu","Masasi","2 5 6",NA,2,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3b9b0826-e380-11ec-9416-9440c9ab47f0"
1157786,1,1,"1 4",NA,1,NA,"Misichele","Chiungutwa","Masasi","2 6 5",NA,-66,"Pikipiki",0,NA,NA,1,1,NA,"Nambunda","Mijelejele","Masasi","2 5 4 6",NA,-66,"Pikipiki","1 2 3 4 5",NA,"4",NA,1,NA,NA,30000,1,"407e10f3-e380-11ec-9416-9440c9ab47f0"
1157787,1,1,"1 4",NA,1,NA,"Nairombo","Nairombo","Masasi","6 2",NA,-66,"Pikipiki",0,NA,NA,1,1,NA,"Milunda","Nanjota","Masasi","2 6",NA,-66,"Pikipiki","1 2 3 6",NA,"-66","Hanunui wanyama wengine",1,NA,NA,30000,1,"460aba30-e380-11ec-9416-9440c9ab47f0"
1157788,1,1,"1",NA,1,NA,"Tuliza moyo","Milola","Ulanga","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4791a1c5-e380-11ec-9416-9440c9ab47f0"
1157789,1,1,"2",NA,3,NA,"Mbuyuni","Minepa","Ulanga","1 -66","Ananunua kwa wafugaji mnadani na kuuza kwa wafanyabiashara wengine",-66,"Anawauza hapo mnadani wakibaki anapeleka mnada mwingine",0,NA,NA,1,1,NA,"Kivukoni","Minepa","Ulanga","1",NA,1,NA,"2 1 3",NA,NA,NA,0,NA,NA,NA,3,"46a1619f-e380-11ec-9416-9440c9ab47f0"
1157790,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"6 8 -66","Kwa ajili ya kuuza nyama choma",-66,"Hasafirishwi, anachinjwa hapo mnadani kwa ajili ya nyama choma","1 2 3 4",NA,NA,NA,0,NA,NA,NA,3,"58d2f50c-e380-11ec-9416-9440c9ab47f0"
1157791,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Igota","Lupiro","Ulanga","5 2",NA,1,NA,"1 2 3",NA,NA,NA,0,NA,NA,NA,1,"5ad36f90-e380-11ec-9416-9440c9ab47f0"
1157792,1,1,"1",NA,1,NA,"Nakafuru","Lupiro","Ulanga","3",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4c8f4bb6-e380-11ec-9416-9440c9ab47f0"
1157793,1,1,"1",NA,1,NA,"Mavimba","Minepa","Ulanga","2 3",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5092503d-e380-11ec-9416-9440c9ab47f0"
1157794,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Posta","Ifakara","Ifakara","6",NA,1,NA,"1 2 3",NA,NA,NA,0,NA,NA,NA,3,"46dcfb00-e380-11ec-9416-9440c9ab47f0"
1157795,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"8",NA,-66,"Hasafirishi, atachinja hapo mnadani kwa ajili ya kuuza supu na chakula (mama lishe)","1 3 2 4",NA,NA,NA,0,NA,NA,NA,3,"5aad605d-e380-11ec-9416-9440c9ab47f0"
1157796,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Etoo","Minepa","Ulanga","5 2",NA,1,NA,"3 1 2 4 5",NA,NA,NA,NA,NA,NA,NA,NA,"408f0bbf-e380-11ec-9416-9440c9ab47f0"
1157797,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Lupiro","Lupiro","Ulanga","6",NA,-66,"Bajaji","3 1 2 4",NA,NA,NA,0,NA,NA,NA,3,"4381f7f3-e380-11ec-9416-9440c9ab47f0"
1157798,1,1,"1",NA,1,NA,"Itobanilo","Minepa","Ulanga","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46616469-e380-11ec-9416-9440c9ab47f0"
1157799,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Idunda","Kichangani","Ulanga","5 2",NA,1,NA,"1 3 2 5",NA,NA,NA,0,NA,NA,NA,1,"35bed62c-e380-11ec-9416-9440c9ab47f0"
1157800,1,1,"1",NA,1,NA,"Mbuyuni","Minepa","Ulanga","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42480cb3-e380-11ec-9416-9440c9ab47f0"
1157801,1,1,"1",NA,1,NA,"Mbuyuni","Minepa","Ulanga","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3ed7f52c-e380-11ec-9416-9440c9ab47f0"
1157885,1,1,"3",NA,1,NA,"Masanyenta","Mpapa","Momba","1",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Amewatoa kijijini kuja kuuza hapa mnadani","1 2 3",NA,NA,NA,NA,NA,NA,NA,NA,"16343f0d-eb5c-11ec-9416-9440c9ab47f0"
1157886,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Chilulumo","Chilulumo","Momba","2 5",NA,1,NA,"1 2 3",NA,"-66","Hakuna mifugo mingine",0,"-66","Hakuna",NA,1,"f2302a42-eb5b-11ec-9416-9440c9ab47f0"
1157887,1,1,"1",NA,1,NA,"Sante","Mkomba","Momba","6 2",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"003fdf16-eb5c-11ec-9416-9440c9ab47f0"
